Accession Number,Title,Sequence Length,Source of sample,NCBI Link,Geographical location,Host,Article name
AY691537,"Streptococcus anginosus strain ChDC YA6 16S ribosomal RNA gene, partial sequence",1438.0,Dental plague,https://www.ncbi.nlm.nih.gov/nuccore/AY691537,Korea,Patient,14. Identification of Non-mutans Streptococci Organisms in Dental Plaques Recovering on Mitis-Salivarius Bacitracin Agar Medium
GU561377,"Streptococcus anginosus strain GEJ5 16S ribosomal RNA gene, partial sequence",1438.0,oral cavity,https://www.ncbi.nlm.nih.gov/nuccore/GU561377,---,Human,Oral bacterial diversity
JX678670,"Streptococcus anginosus strain P3 16S ribosomal RNA gene, partial sequence",1431.0,dental caries,https://www.ncbi.nlm.nih.gov/nuccore/JX678670,India,Human,Prevalence of Streptococcus spp. among dental caries subjects
MT807632,"Streptococcus anginosus strain 27.1T 16S ribosomal RNA gene, partial sequence",1431.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807632,Spain,Patient,116. Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
PQ222928,"Streptococcus anginosus strain D2-A-1-43 16S ribosomal RNA gene, partial sequence",1431.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222928,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
MH127521,"Streptococcus anginosus strain ACD49-1 16S ribosomal RNA gene, partial sequence",1431.0,Gut microbiome,https://www.ncbi.nlm.nih.gov/nuccore/MH127521,---,Infant,"Exploring the infant gut microbiome by cultivation-based method and SMRT sequencing, a pilot study"
OR501223,"Streptococcus anginosus strain V2 16S ribosomal RNA gene, partial sequence",1430.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501223,National Taiwan University Hospital,Patient,119. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci
MH127522,"Streptococcus anginosus strain ACD49-2 16S ribosomal RNA gene, partial sequence",1430.0,Gut microbiome,https://www.ncbi.nlm.nih.gov/nuccore/MH127522,---,Infant,"Exploring the infant gut microbiome by cultivation-based method and SMRT sequencing, a pilot study"
PQ222941,"Streptococcus anginosus strain D2-BN-1-76 16S ribosomal RNA gene, partial sequence",1429.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222941,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
PQ222916,"Streptococcus anginosus strain D2-A-5-80 16S ribosomal RNA gene, partial sequence",1429.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222916,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
PQ222932,"Streptococcus anginosus strain D2-A-5-46 16S ribosomal RNA gene, partial sequence",1428.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222932,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
KC569587,"Streptococcus anginosus strain ChDC B560 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569587,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569588,"Streptococcus anginosus strain ChDC B561 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569588,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569594,"Streptococcus anginosus strain ChDC B710 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569594,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569593,"Streptococcus anginosus strain ChDC B695 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569593,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569592,"Streptococcus anginosus strain ChDC B688 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569592,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569591,"Streptococcus anginosus strain ChDC B684 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569591,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569589,"Streptococcus anginosus strain ChDC B563 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569589,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569576,"Streptococcus anginosus strain ChDC B248 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569576,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569586,"Streptococcus anginosus strain ChDC B557 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569586,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569580,"Streptococcus anginosus strain ChDC B287 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569580,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569574,"Streptococcus anginosus strain ChDC B181 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569574,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569575,"Streptococcus anginosus strain ChDC B232 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569575,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
PQ222938,"Streptococcus anginosus strain D2-BN-1-58 16S ribosomal RNA gene, partial sequence",1426.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222938,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
KC569577,"Streptococcus anginosus strain ChDC B252 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569577,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569579,"Streptococcus anginosus strain ChDC B263 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569579,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569578,"Streptococcus anginosus strain ChDC B261 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569578,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569581,"Streptococcus anginosus strain ChDC B311 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569581,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569582,"Streptococcus anginosus strain ChDC B319 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569582,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569583,"Streptococcus anginosus strain ChDC B407-I 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569583,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569584,"Streptococcus anginosus strain ChDC B543 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569584,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
KC569585,"Streptococcus anginosus strain ChDC B544 16S ribosomal RNA gene, partial sequence",1426.0,oral ,https://www.ncbi.nlm.nih.gov/nuccore/KC569585,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
PQ222501,"Streptococcus anginosus strain D7-N-0-77 16S ribosomal RNA gene, partial sequence",1425.0,Stool,https://www.ncbi.nlm.nih.gov/nuccore/PQ222501,South Korea,IBD patients,117. Culture-based characterization of gut microbiota in inflammatory bowel disease
MH817386,"Streptococcus anginosus strain 12 16S ribosomal RNA gene, partial sequence",1425.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817386,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
MW090399,"Streptococcus anginosus strain 10378 16S ribosomal RNA gene, partial sequence",1423.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MW090399,---,---,-----
JX678675,"Streptococcus anginosus strain P8 16S ribosomal RNA gene, partial sequence",1422.0,dental caries,https://www.ncbi.nlm.nih.gov/nuccore/JX678675,India,Human,Prevalence of Streptococcus spp. among dental caries subjects
MT903068,"Streptococcus anginosus strain 3_YM_GAM_D4_57.mj 16S ribosomal RNA gene, partial sequence",1422.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT903068,---,---,-----
MT807855,"Streptococcus anginosus strain 118.6T 16S ribosomal RNA gene, partial sequence",1421.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807855,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
OQ947771,"Streptococcus anginosus strain Sdc_ortho9 16S ribosomal RNA gene, partial sequence",1421.0,oral cavity ,https://www.ncbi.nlm.nih.gov/nuccore/OQ947771,---,healthy individuals,16S rRNA gene sequencing of bacterial isolates retrieved from oral cavity samples of healthy adult individuals
MT807631,"Streptococcus anginosus strain 26.6T 16S ribosomal RNA gene, partial sequence",1420.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807631,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT585451,"Streptococcus anginosus subsp. whileyi strain 698 16S ribosomal RNA gene, partial sequence",1420.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT585451,---,---,-----
KC569590,"Streptococcus anginosus strain ChDC B640 16S ribosomal RNA gene, partial sequence",1419.0,oral (Acute pulpitis),https://www.ncbi.nlm.nih.gov/nuccore/KC569590,Korea,Human,124. Molecular Identification of Anginosus Group Streptococci Isolated from Korean Oral Cavities
MT807630,"Streptococcus anginosus strain 26.5T 16S ribosomal RNA gene, partial sequence",1419.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807630,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH817392,"Streptococcus anginosus strain 18 16S ribosomal RNA gene, partial sequence",1418.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817392,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
MF578814,"Streptococcus anginosus strain K57 16S ribosomal RNA gene, partial sequence",1417.0,periodontal abscess,https://www.ncbi.nlm.nih.gov/nuccore/MF578814,---,Patient,157. Identification of Dominant BacteriaI solated From Periodontal Abscesses
JX678671,"Streptococcus anginosus strain P4 16S ribosomal RNA gene, partial sequence",1417.0,dental caries,https://www.ncbi.nlm.nih.gov/nuccore/JX678671,India,Human,Prevalence of Streptococcus spp. among dental caries subjects
OR501332,"Streptococcus anginosus strain ATCC 9895 16S ribosomal RNA gene, partial sequence",1413.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501332,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci
MF578782,"Streptococcus anginosus strain K18 16S ribosomal RNA gene, partial sequence",1412.0,periodontal abscess,https://www.ncbi.nlm.nih.gov/nuccore/MF578782,---,Patient,157. Identification of Dominant Bacteria Isolated From Periodontal Abscesses
MK270132,"Streptococcus anginosus strain NA1 16S ribosomal RNA gene, partial sequence",1412.0,Subgingival samples,https://www.ncbi.nlm.nih.gov/nuccore/MK270132,"dentistry college, University of Babylon",Patient,161. A highly efficient computational discrimination among Streptococcalspecies of periodontitis patients using 16S rRNA amplicons
MT807742,"Streptococcus anginosus strain 75.1T 16S ribosomal RNA gene, partial sequence",1412.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807742,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
OR501282,"Streptococcus anginosus strain V63 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501282,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-23
OR501317,"Streptococcus anginosus strain V101 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501317,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-24
OR501306,"Streptococcus anginosus strain V88 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501306,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-25
OR501304,"Streptococcus anginosus strain V86 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501304,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-26
OR501283,"Streptococcus anginosus strain V64 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501283,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-27
MT807854,"Streptococcus anginosus strain 118.5T 16S ribosomal RNA gene, partial sequence",1411.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807854,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
OR501281,"Streptococcus anginosus strain V62 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501281,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-29
OR501259,"Streptococcus anginosus strain V39 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501259,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-30
OR501255,"Streptococcus anginosus strain V35 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501255,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-31
OR501251,"Streptococcus anginosus strain V31 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501251,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-32
OR501249,"Streptococcus anginosus strain V29 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501249,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-33
OR501239,"Streptococcus anginosus strain V19 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501239,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-34
OR501238,"Streptococcus anginosus strain V18 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501238,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-35
OR501229,"Streptococcus anginosus strain V8 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501229,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-36
OR501225,"Streptococcus anginosus strain V4 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501225,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-37
OR501257,"Streptococcus anginosus strain V37 16S ribosomal RNA gene, partial sequence",1411.0,Blood,https://www.ncbi.nlm.nih.gov/nuccore/OR501257,National Taiwan University Hospital,Patient,159. Performance assessment of the Bruker Biotyper MALDI-TOF MS for the identification of difficult-to-identify viridans group streptococci --- jcm.01143-38
MF578815,"Streptococcus anginosus strain K58 16S ribosomal RNA gene, partial sequence",1410.0,periodontal abscess,https://www.ncbi.nlm.nih.gov/nuccore/MF578815,---,Patient,157. Identification of Dominant Bacteria Isolated From Periodontal Abscesses
MT807694,"Streptococcus anginosus strain 53.2T 16S ribosomal RNA gene, partial sequence",1410.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807694,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH930443,"Streptococcus anginosus subsp. whileyi strain LPB0222 16S ribosomal RNA gene, partial sequence",1410.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH930443,---,---,-----
MT807874,"Streptococcus anginosus strain 125.2T 16S ribosomal RNA gene, partial sequence",1408.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807874,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MF538609,"Streptococcus anginosus strain 4005 16S ribosomal RNA gene, partial sequence",1408.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MF538609,---,Human,183. Pivotal Role of Preexisting Pathogen-Specific Antibodies in the Development of Necrotizing Soft-Tissue Infections
MT807695,"Streptococcus anginosus strain 54.1T 16S ribosomal RNA gene, partial sequence",1407.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807695,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MF538610,"Streptococcus anginosus strain 4006 16S ribosomal RNA gene, partial sequence",1407.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MF538610,---,Human,183. Pivotal Role of Preexisting Pathogen-Specific Antibodies in the Development of Necrotizing Soft-Tissue Infections
MT807875,"Streptococcus anginosus strain 126.1T 16S ribosomal RNA gene, partial sequence",1406.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807875,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
PV270569,"Streptococcus anginosus subsp. whileyi strain 26243 16S ribosomal RNA gene, partial sequence",1405.0,,https://www.ncbi.nlm.nih.gov/nuccore/PV270569,China,,-----
JN787186,"Streptococcus anginosus strain SK1366 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787186,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787189,"Streptococcus anginosus strain SK1322 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787189,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787188,"Streptococcus anginosus strain SK1321 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787188,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787187,"Streptococcus anginosus strain SK1395 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787187,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787182,"Streptococcus anginosus strain CCUG 44049B 16S ribosomal RNA gene, partial sequence",1404.0,vagina,https://www.ncbi.nlm.nih.gov/nuccore/JN787182,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787185,"Streptococcus anginosus strain SK1281 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787185,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787184,"Streptococcus anginosus strain SK1094 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787184,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787183,"Streptococcus anginosus strain CCUG 52051 16S ribosomal RNA gene, partial sequence",1404.0,mitralis valve,https://www.ncbi.nlm.nih.gov/nuccore/JN787183,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787191,"Streptococcus anginosus strain CCUG 32021 16S ribosomal RNA gene, partial sequence",1404.0,Unknown,https://www.ncbi.nlm.nih.gov/nuccore/JN787191,USA,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787181,"Streptococcus anginosus strain CCUG 35181 16S ribosomal RNA gene, partial sequence",1404.0,Unknown,https://www.ncbi.nlm.nih.gov/nuccore/JN787181,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787190,"Streptococcus anginosus strain SK1323 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787190,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787194,"Streptococcus anginosus strain SK1324 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787194,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787192,"Streptococcus anginosus strain CCUG 32453 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787192,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787193,"Streptococcus anginosus subsp. whileyi CCUG 39159 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787193,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787179,"Streptococcus anginosus strain SK1385 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787179,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787195,"Streptococcus anginosus strain SK1325 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787195,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787196,"Streptococcus anginosus strain SK1326 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787196,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787197,"Streptococcus anginosus strain SK1330 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787197,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787198,"Streptococcus anginosus strain SK1317 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787198,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787199,"Streptococcus anginosus strain SK1334 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787199,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787200,"Streptococcus anginosus strain SK1335 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787200,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787201,"Streptococcus anginosus strain SK1340 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787201,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787180,"Streptococcus anginosus strain SK1416 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787180,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787175,"Streptococcus anginosus strain SK1106 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787175,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
